Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-D16,Grand Ave (W),TG1,DesPlaines Middle,Stickney,5/25/2016 17:49,5/25/2016 18:13,:00:23:44
DS-M47,Maxwell St (Maxwell & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 17:55,5/25/2016 18:22,:00:27:20
DS-M49,Roosevelt Rd (Roosevelt & Lumber) (W),TG1,SB Chicago R,Stickney,5/25/2016 17:52,5/25/2016 18:23,:00:30:28
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:10,5/25/2016 18:28,:00:18:36
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 18:13,5/25/2016 18:33,:00:20:32
DS-M38,Union Ave (N),TG2,SB Chicago R,Stickney,5/25/2016 18:43,5/25/2016 18:44,:00:01:16
DS-M38,Union Ave (N),TG1,SB Chicago R,Stickney,5/25/2016 18:12,5/25/2016 18:46,:00:33:56
"DS-D39,42,46",South of Brookfield Ave (Southwest wing wall of the bridge) (W),TG2,Salt Cr,Stickney,5/25/2016 17:38,5/25/2016 18:51,:01:13:08
DS-M40,Normal Ave (S),TG2,SB Chicago R,Stickney,5/25/2016 18:29,5/25/2016 18:53,:00:23:48
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:53,5/25/2016 18:54,:00:01:20
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/25/2016 18:28,5/25/2016 18:54,:00:25:52
DS-M61A,Fulton St & Canal St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:56,5/25/2016 18:57,:00:01:04
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:36,5/25/2016 19:16,:00:39:32
DS-M30,35th St. (W),TG1,SF SB Chicago R,Stickney,5/25/2016 19:13,5/25/2016 19:20,:00:06:56
DS-M51,Harrison St (W),TG1,SB Chicago R,Stickney,5/25/2016 19:11,5/25/2016 19:34,:00:23:16
DS-N09,Miami Ave (Indian & Monitor) (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 19:09,5/25/2016 19:38,:00:28:52
DS-N11,Forestview Lane & Riverside Dr (E of Milwaukee) (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:46,5/25/2016 19:38,:00:52:44
DS-N12,Caldwell Ave & Touhy Ave (Harts Rd & Touhy Ave) (E),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:51,5/25/2016 19:38,:00:47:44
