outfall_name,associated_plant,lat,lon,waterway_reach
DS-M54,01 - Stickney,41.8870897,-87.6353106,Chicago R
DS-M55,01 - Stickney,41.8885316,-87.6239777,Chicago R
DS-M61A,01 - Stickney,41.8868378,-87.6392046,NBCR Lower (NSC Confluence)
DS-M64,01 - Stickney,41.9014525,-87.6564149,NBCR Lower (NSC Confluence)
DS-M66,01 - Stickney,41.9071287,-87.6582622,NBCR Lower (NSC Confluence)
DS-M70,01 - Stickney,41.9106207,-87.6563794,NBCR Lower (NSC Confluence)
DS-M73,01 - Stickney,41.9187047,-87.665756,NBCR Lower (NSC Confluence)
DS-M75,01 - Stickney,41.9248653,-87.6741427,NBCR Lower (NSC Confluence)
DS-M76,01 - Stickney,41.9250322,-87.6748012,NBCR Lower (NSC Confluence)
DS-M79,01 - Stickney,41.9322349,-87.6831703,NBCR Lower (NSC Confluence)
DS-M80,01 - Stickney,41.9338368,-87.6831949,NBCR Lower (NSC Confluence)
DS-M82,01 - Stickney,41.9392627,-87.6927329,NBCR Lower (NSC Confluence)
DS-M83,01 - Stickney,41.9404909,-87.6933554,NBCR Lower (NSC Confluence)
DS-M84,01 - Stickney,41.9427895,-87.6956026,NBCR Lower (NSC Confluence)
DS-M85,01 - Stickney,41.9464949,-87.69577,NBCR Lower (NSC Confluence)
DS-M86,01 - Stickney,41.9501867,-87.6970808,NBCR Lower (NSC Confluence)
DS-M88,01 - Stickney,41.9574809,-87.6945644,NBCR Lower (NSC Confluence)
DS-M90 & DS-M91 (NBPS),07 - Pumping Station - North Branch,41.96917,-87.70111,NBCR Lower (NSC Confluence)
DS-M97,01 - Stickney,42.0042798,-87.7102367,NSC Lower (NSWRP)
DS-N02,01 - Stickney,41.9755183,-87.7310133,NBCR Upper (NSC Confluence)
DS-N03,01 - Stickney,41.9813352,-87.7412927,NBCR Upper (NSC Confluence)
DS-N04,01 - Stickney,41.9837987,-87.7480379,NBCR Upper (NSC Confluence)
DS-N05,01 - Stickney,41.983153,-87.7524896,NBCR Upper (NSC Confluence)
DS-N06,01 - Stickney,41.9843238,-87.7074997,NBCR Upper (NSC Confluence)
DS-N07,01 - Stickney,41.9903073,-87.7661128,NBCR Upper (NSC Confluence)
DS-N08,01 - Stickney,41.9893333,-87.7712945,NBCR Upper (NSC Confluence)
DS-N09,01 - Stickney,41.9921363,-87.7733599,NBCR Upper (NSC Confluence)
DS-N10A,01 - Stickney,42.0030184,-87.7811785,NBCR Upper (NSC Confluence)
DS-N10B,01 - Stickney,41.999744,-87.7885191,NBCR Upper (NSC Confluence)
DS-N11,01 - Stickney,42.00727,-87.7923,NBCR Upper (NSC Confluence)
DS-N12,01 - Stickney,42.00858,-87.79248,NBCR Upper (NSC Confluence)
DS-N13R,01 - Stickney,42.0121304,-87.7960441,NBCR Upper (NSC Confluence)
DS-N16,01 - Stickney,42.0199,-87.79565,NBCR Upper (NSC Confluence)
DS-N17,01 - Stickney,42.03025,-87.79367,NBCR Upper (NSC Confluence)
DS-N18,01 - Stickney,42.0335,-87.79458,NBCR Upper (NSC Confluence)
DS-N19,01 - Stickney,42.04127,-87.7882,NBCR Upper (NSC Confluence)
DSM-38,01 - Stickney,41.8497284,-87.6450959,SB Chicago R
Indirect (CDS-47),02 - Calumet,41.6174419,-87.6188114,Little Cal R (South)
Indirect (UDP-DS5) (K27),04 - Kirie,42.05044,-87.90872,Weller Cr
None,02 - Calumet,41.6666949,-87.7580073,Cal Sag Ch
None (K3),04 - Kirie,42.0590543,-87.9569232,Weller Cr
TG-13A,01 - Stickney,41.79389,-87.81194,CSSC Upper (SWRP)
TG-I32,01 - Stickney,41.8720492,-87.6357999,SB Chicago R
TG-I5,01 - Stickney,41.8189385,-87.7439234,CSSC Upper (SWRP)
TG-I8,01 - Stickney,41.8250406,-87.7242953,CSSC Upper (SWRP)
TG-I9,01 - Stickney,41.8697796,-87.6345728,SB Chicago R
TG-M05,01 - Stickney,41.79387,-87.81453,CSSC Lower (SWRP)
TG-M105E,01 - Stickney,42.037407,-87.709431,NSC Upper (NSWRP)
TG-M16,01 - Stickney,41.8283942,-87.7167301,CSSC Upper (SWRP)
TG-M22,01 - Stickney,41.8387731,-87.6833418,CSSC Upper (SWRP)
TG-M60,01 - Stickney,41.8889669,-87.6215276,Chicago R
TG-M71,01 - Stickney,41.9106035,-87.6573189,NBCR Lower (NSC Confluence)
TG-M81,01 - Stickney,41.9363227,-87.6879717,NBCR Lower (NSC Confluence)
TG-M94,01 - Stickney,41.9865183,-87.7076004,NSC Lower (NSWRP)
TG-NASH,01 - Stickney,41.8043733,-87.7896257,CSSC Lower (SWRP)
UDP-DS1 (K1),04 - Kirie,42.06622,-87.95808,Weller Cr
UDP-DS1 (K2-1),04 - Kirie,42.0662584,-87.9581275,Weller Cr
UDP-DS1 (K2-2),04 - Kirie,42.0662591,-87.9580936,Weller Cr
UDP-DS1A (K1A),04 - Kirie,42.06622,-87.95808,Weller Cr
UDP-DS3 (K11),04 - Kirie,42.05361,-87.94639,Weller Cr
UDP-DS3 (K14),04 - Kirie,42.05361,-87.945,Weller Cr
UDP-DS4 (K20),04 - Kirie,42.055,-87.94083,Weller Cr
UDP-DS6 (K22),04 - Kirie,42.05167,-87.92833,Weller Cr
UDP-DS8 (K25-1),04 - Kirie,42.0751772,-87.922144,Feehanville Ditch
UDP-DS8 (K25-2),04 - Kirie,42.0752021,-87.9221601,Feehanville Ditch
UDP-DS8 (K26),04 - Kirie,42.07472,-87.92194,Feehanville Ditch
