disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1800,1,1,1,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Cook (County),99031,dc37a07e247b6dd19da48cc9400c6997,2016-08-30T15:08:21 +00:00
1800,1,1,0,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Kane (County),99089,232aa78f5dac72d31eb7a7715ddfbec3,2016-08-30T15:08:21 +00:00
1800,1,0,0,1,IL,2008-10-03T18:30:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2008-09-13T08:00:00 +00:00,2008-10-05T00:00:00 +00:00,,Peoria (County),99143,747238524c423e169b4e8141182a945d,2016-08-30T15:08:21 +00:00
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Hardin (County),99069,8cb92dfda82012d06e1a82e15072a65a,2016-08-30T15:08:21 +00:00
1826,0,0,1,1,IL,2009-03-02T19:25:00 +00:00,DR,Severe Storm(s),SEVERE WINTER STORM,2009-01-26T00:00:00 +00:00,2009-01-28T00:00:00 +00:00,2016-08-08T23:59:00 +00:00,Saline (County),99165,0c194f011b61499720c610a3affefa45,2016-08-30T15:08:21 +00:00
1850,0,0,1,1,IL,2009-07-02T17:30:00 +00:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADOES",2009-05-08T11:30:00 +00:00,2009-05-09T00:00:00 +00:00,,Jackson (County),99077,1ea29df0529741a9a5f43c7726f00900,2016-08-30T15:08:21 +00:00
1935,1,0,0,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,DuPage (County),99043,9f9a23219aa9482d06f47e56ab81a706,2016-08-30T15:08:21 +00:00
1935,0,0,1,1,IL,2010-08-19T14:00:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2010-07-19T14:36:00 +00:00,2010-08-07T11:00:00 +00:00,,Schuyler (County),99169,d46d54a2addd3a00381952a5669ef88c,2016-08-30T15:08:21 +00:00
1722,1,1,0,1,IL,2007-08-30T20:06:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2007-08-07T00:00:00 +00:00,2007-08-08T23:59:00 +00:00,2015-05-13T23:59:00 +00:00,Stephenson (County),99177,a917d9e2eb5b143f721af231d06be171,2016-08-30T15:08:18 +00:00
1729,0,0,1,1,IL,2007-09-25T20:40:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2007-08-20T15:30:00 +00:00,2007-08-31T00:00:00 +00:00,2015-12-07T00:00:00 +00:00,Cook (County),99031,cb84f79b7e21df73b44e09b869e0918e,2016-08-30T15:08:18 +00:00
