disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60639.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0e2605f2e5b547ea1f48cdbd731a5c44,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,580.0,0.0,0.0,580.0,1.0,0.0,0.0,0.0,a6c3e9ce1d8c520cc3eeda5fc6d74622,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60612.0,554.0,532.0,532.0,0.0,0.0,0.0,331.0,1321332.0,0.0,833474.0,487858.0,304.0,22.0,5.0,2.0,b607452512927927585de2fcb73a7366,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60632.0,917.0,883.0,883.0,0.0,0.0,0.0,687.0,3603782.0,0.0,1381014.0,2222768.0,624.0,59.0,4.0,1.0,4323816c922246870ce3f055e30ecb8f,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60622.0,73.0,66.0,66.0,0.0,0.0,0.0,37.0,106568.0,0.0,49336.0,57232.0,35.0,2.0,0.0,0.0,6bd29530278b97a923f1bea04e4b2b9b,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60643.0,1.0,1015.0,1015.0,0.0,0.0,0.0,573.0,1745171.0,11334.0,1214170.0,519667.0,530.0,35.0,8.0,1.0,8cb7149ae4444747faa33b1828ddd577,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60656.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964a9c5e8b132ef4baf7afe3e2625bfa,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60617.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,675.0,0.0,0.0,675.0,1.0,0.0,0.0,0.0,92b59eb717d2744582990fa4f9f06085,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60612.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2266.0,0.0,0.0,2266.0,1.0,0.0,0.0,0.0,ba9b8e0ab8d85b428ec6dec7fbd5d92b,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60629.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ce49ae084c749662612728136bc644f8,2014-11-20T15:20:39 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
