disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60652.0,1.0,3099.0,1.0,3099.0,0.0,1.0,0.0,0.0,0.0,1.0,2220.0,2220.0,0.0,0.0,1.0,0.0,0.0,0.0,3b764d2db44aed6b02d2ef3915068eaa,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60411.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809271ec3764aacf17bee8e41ec2db7e,2014-11-20T15:20:20 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60612.0,371.0,2401.0,334.0,802064.0,25.0,299.0,9.0,0.0,1.0,261.0,895057.0,656818.0,178251.0,59989.0,243.0,15.0,3.0,2.0,01fd413f87af8a17b9d17518e80ea709,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60622.0,91.0,2413.0,81.0,195416.0,15.0,62.0,4.0,0.0,0.0,50.0,174385.0,157354.0,8122.0,8909.0,46.0,4.0,0.0,0.0,e7afedd5f4987ef55156ffe20cebe702,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60644.0,1.0,2965.0,1822.0,5402637.0,108.0,1.0,40.0,15.0,0.0,1618.0,5884551.0,4574533.0,701379.0,608639.0,1.0,84.0,14.0,6.0,363847740bc462f4f15a318f6683c774,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60633.0,119.0,1768.0,110.0,194430.0,8.0,101.0,1.0,0.0,0.0,85.0,191045.0,162815.0,22082.0,6149.0,84.0,1.0,0.0,0.0,bc6f42ee2bbd8c3f0804f18790719328,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60656.0,43.0,1306.0,42.0,54863.0,9.0,33.0,0.0,0.0,0.0,30.0,57867.0,42499.0,15368.0,0.0,29.0,1.0,0.0,0.0,98775376bcf6de4c1a280aa5d849b3c6,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60804.0,2.0,1562.0,2.0,3123.0,1.0,1.0,0.0,0.0,0.0,1.0,4534.0,4534.0,0.0,0.0,1.0,0.0,0.0,0.0,ae57cbe2aa09f7649257b0e06bcaf0ea,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60643.0,1.0,6730.0,1.0,6730.0,0.0,1.0,0.0,0.0,0.0,1.0,9210.0,6730.0,2480.0,0.0,1.0,0.0,0.0,0.0,25a137240eac5ccf205df1990e1d405b,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
1935.0,Severe Storm(s),IL,Cook (County),Chicago,60643.0,1.0,590.0,1.0,590.0,0.0,1.0,0.0,0.0,0.0,1.0,590.0,590.0,0.0,0.0,1.0,0.0,0.0,0.0,69f507bbbf1ef1159f1c6713cb65a281,2014-12-12T01:20:24 +00:00,2010-08-19T14:00:00 +00:00,SEVERE STORMS AND FLOODING,2010-07-19 14:36:00,2010-08-07T11:00:00 +00:00
