disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh,declarationDate,title,incidentBeginDate,incidentEndDate
4116.0,Flood,IL,Cook (County),Chicago,60651.0,2020.0,1.0,530.0,100.0,1969.0,1253.0,3081699.93,1894.0,1010.0,2310203.87,1567.0,593.0,771496.06,bee1b9826f2e13297fb83c3ea712a339,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60666.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ede2e3388939f43e90c3a4cff89d4b3c,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60607.0,7.0,3.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,bd65073c5f959b06a603fa3bfa0369f5,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60618.0,144.0,60.0,80.0,4.0,135.0,88.0,201291.2,124.0,77.0,163583.24,102.0,31.0,37707.96,d11fd5442b03160e7164ce831864d922,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60629.0,1848.0,1.0,646.0,107.0,1790.0,1305.0,2674887.1,1713.0,1086.0,2174515.41,1424.0,561.0,500371.69,85e0106f0174d60545bfbbe7e6e2a7bf,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60640.0,12.0,1.0,9.0,2.0,9.0,1.0,7697.75,9.0,1.0,5933.53,8.0,1.0,1764.22,952a0205511dab6f73aaf64de62750bd,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60652.0,1301.0,717.0,518.0,66.0,1265.0,1002.0,2299844.87,1235.0,958.0,2117609.3,885.0,232.0,182235.57,4f41a6c7e97f178220fea33fda4d2406,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60678.0,1.0,1.0,0.0,0.0,1.0,1.0,509.66,1.0,1.0,509.66,1.0,0.0,0.0,d254b166dfa83fbd16442019c642c23d,2014-11-23T02:38:03 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60609.0,861.0,603.0,212.0,46.0,838.0,527.0,1285594.22,808.0,379.0,952630.73,684.0,334.0,332963.49,c9bc61d99ae8061c1878669146256acb,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
4116.0,Flood,IL,Cook (County),Chicago,60620.0,4415.0,2.0,1.0,202.0,4297.0,2699.0,5313449.91,4141.0,2212.0,4388605.56,3294.0,1105.0,924844.35,0d593b0c4ff0229727b7ceab1ca431af,2015-03-02T19:03:16 +00:00,2013-05-10T18:15:00 +00:00,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2013-04-16 09:37:00,2013-05-05T00:00:00 +00:00
