disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,totalInspected,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60608,292,275,275,0,0,0,190,751387,0,368177,383210,178,11,1,0,b2324f7a1b93a94ab9450fc0631c40bb,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60804,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,370b27f1458a1662dce72bfb81a208b7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HILLSIDE,60162,178,155,155,0,0,0,94,400272,0,188162,212110,89,5,0,0,660a802834f209c5e9da6e5e913e772b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60634,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4ec1c085cdc373803fd684fa1f0eac54,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),WILLOW SPRINGS,60480,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2a1d1760e35683053994510aa6f32673,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTH CHICAGO,60064,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5d1285bebb5dded07d4817a905648d37,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),STREAMWOOD,60107,11,11,11,0,0,0,5,31110,0,23974,7136,4,1,0,0,f622fe999af35d868e500ae2da095550,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PARK FOREST,60484,4,4,4,0,0,0,2,592,0,0,592,2,0,0,0,c702e02afa13de40790a05c66515325b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),S CHICAGO HGTS,60411,1,1,1,0,0,0,1,9611,0,8126,1485,1,0,0,0,0c1648ef329910d9bf394bc0606df700,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVER FOREST,60305,13,11,11,0,0,0,3,2689,0,2030,659,3,0,0,0,1e896f8db2088d2a77811497e37979a9,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ALSIP,60803,36,33,33,0,0,0,5,6880,0,4960,1920,5,0,0,0,2bb8f80d73b6f1d7bb2f2d3a34fe6f3c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BERKELEY,60162,1,1,1,0,0,0,1,459,0,0,459,1,0,0,0,06f7af4e12d8ff39acaa72260c060cfc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHCIAGO,60639,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0e2605f2e5b547ea1f48cdbd731a5c44,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BURHAM,60633,1,1,1,0,0,0,1,1808,0,1808,0,1,0,0,0,9964abfb152d50e9e3610b9e3a8080f7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60104,1,1,1,0,0,0,1,580,0,0,580,1,0,0,0,a6c3e9ce1d8c520cc3eeda5fc6d74622,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60612,554,532,532,0,0,0,331,1321332,0,833474,487858,304,22,5,2,b607452512927927585de2fcb73a7366,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60632,917,883,883,0,0,0,687,3603782,0,1381014,2222768,624,59,4,1,4323816c922246870ce3f055e30ecb8f,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60622,73,66,66,0,0,0,37,106568,0,49336,57232,35,2,0,0,6bd29530278b97a923f1bea04e4b2b9b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60643,1,1015,1015,0,0,0,573,1745171,11334,1214170,519667,530,35,8,1,8cb7149ae4444747faa33b1828ddd577,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60656,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,964a9c5e8b132ef4baf7afe3e2625bfa,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO APT B,60617,1,1,1,0,0,0,1,675,0,0,675,1,0,0,0,92b59eb717d2744582990fa4f9f06085,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),DES PLAINES,60018,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,cfa4855e6bdb66e22f8a5104122bc310,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60684,1,1,1,0,0,0,1,3405,0,1806,1599,1,0,0,0,472f8a8829d37d9c10e1121f84047685,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HARVEY,60428,4,4,4,0,0,0,3,2895,0,0,2895,3,0,0,0,4afcb2839e00aa3169311900b8768236,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60203,2,2,2,0,0,0,1,2806,0,2806,0,1,0,0,0,8ef86bd7a06a7f2916e18f8dfdde66c1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HOFFMAN EST,60169,1,1,1,0,0,0,1,568,0,0,568,1,0,0,0,2ac928272a0545f9d6952dab70445d1b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LAKE IN THE HILLS,60156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3ca614e7c4173c4ce1f6a4b1286a4ee7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MARKHAM,60428,233,231,231,0,0,0,141,469323,0,328998,140325,128,10,3,0,393370e17cf9c9cddccfb626b929342c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MELROSE PSRK,60164,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,811dee22619f47f94cf55639d9eeb9a6,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),N RIVERSIDE,60546,2,2,2,0,0,0,1,2684,0,2484,200,1,0,0,0,a91cff9e364c07d30cee9460f86c8f6a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ORLAND HILLS,60487,4,4,4,0,0,0,3,24760,0,22350,2410,2,1,0,0,8fac746bf85f9505c5ac335fb0119581,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ROBBINS,60472,100,100,100,0,0,0,51,187122,0,158177,28945,46,5,0,0,32609f690d870b856dc3dd5446f6f0f4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PEMBROKE TOWNSHIP,60958,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,583f68711d03258fff3547812f6a72f3,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SKOKIE,60077,7,5,5,0,0,0,1,4126,0,2032,2094,1,0,0,0,284d9cc8694d14d45b0f6d4f03122dd8,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),THORNTON,60476,10,8,8,0,0,0,3,24017,0,20494,3523,2,1,0,0,25f3a3e3fab0954eca7ae2a84697e2e2,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BELWOOD,60104,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93eaa4fefa0a7a1c1fa13a4c255b4622,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BURBANK,60459,21,21,21,0,0,0,15,31338,0,7900,23438,15,0,0,0,39a3e3a97b97d9ba08e8b1d8ab101f12,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHCIAGO,60612,1,1,1,0,0,0,1,2266,0,0,2266,1,0,0,0,ba9b8e0ab8d85b428ec6dec7fbd5d92b,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAAGO,60629,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ce49ae084c749662612728136bc644f8,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60610,12,11,11,0,0,0,4,8985,0,2480,6505,4,0,0,0,6bbc8bf11a9249699630039912f68f94,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60621,1,1229,1229,0,0,0,735,2694598,0,1940986,753611,660,66,9,3,c6b135d93d19436045ae1ded7217cfd3,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60631,4,4,4,0,0,0,2,1973,0,0,1973,2,0,0,0,f42be51cf1556d016f4f2ee0f99ec43e,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),DES PLAINES,60016,29,28,28,0,0,0,17,69196,0,48804,20392,15,2,0,0,6c2ec8756e7f6ebae7e460a5074a73c1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60642,22,22,22,0,0,0,6,14205,0,5870,8335,6,0,0,0,28a2ea1e10acae7af19875681f0ae207,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERIO,60608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f6b83dd661b2a73fcbbd15f3a5b1e33c,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60655,24,23,23,0,0,0,6,16172,0,11176,4996,5,1,0,0,6f2872bf949bdc58a9b1bdda6224a882,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60202,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,d818420cdd7c9a0e1a94ac599369d71d,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO ,60639,1,1,1,0,0,0,1,6083,0,0,6083,1,0,0,0,093ffd1ca60b18d5171401066d9e4151,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HARVEY,60426,866,855,855,0,0,0,526,2070417,0,1631885,438532,465,54,7,1,2b0affa8bd20ddfe8def0f0e2db73f40,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),LA GRANGE PARK,60526,9,9,9,0,0,0,3,6091,0,4614,1477,3,0,0,0,145e24541ce8982148b4c29a5088fec1,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),HODGKINS,60525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a797f232baca3f4ca28300839d0ee6f7,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MARKHAM,60426,5,4,4,0,0,0,2,2255,0,2030,225,2,0,0,0,45763d2f8ffefce770a7474491736ec3,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),MELROSEPARK,60160,2,2,2,0,0,0,1,1806,0,1806,0,1,0,0,0,78fad4515d0c1272528b15578384cb8a,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVERSIDE,60546,29,28,28,0,0,0,15,78183,0,52257,25926,13,2,0,0,ced3fb4312e9b41c11621cb79ad4f508,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),PARK RIDGE,60068,4,4,4,0,0,0,3,7480,0,4612,2868,3,0,0,0,3e6e319ef726a9dbdcd961ad8829cfbe,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTH RIVERSIDE,60546,17,16,16,0,0,0,8,20114,0,12186,7928,8,0,0,0,c184eae4865da1d036144a7123bc1a17,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SUMMIT ARGO,60501,83,77,77,0,0,0,63,293706,0,133924,159782,57,5,1,0,a168dcc86d56e5107ce7d41826c58348,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),SKOKIE,60076,14,12,12,0,0,0,4,8905,0,4512,4393,4,0,0,0,136e78f596bd3d2fbcc755836f772648,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),OLYMPIA FIELDS,60461,22,22,22,0,0,0,7,39630,0,38728,902,5,2,0,0,8814f627fd968b6b41b5507c5d4229e4,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),WORTH,60482,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39a7ff6ac1797f8015471c5b79f55310,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),ARLINGTON HEIGHTS,60005,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,a0d49bdcc1f5cd72ead52cf1e7bcaefc,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),BERKLEY,60163,1,1,1,0,0,0,1,1806,0,1806,0,1,0,0,0,8021ce2ab46ffaf033041bccb2903124,2014-11-20T15:20:39 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET,60409,3,3,3,0,0,0,2,20207,0,19872,335,1,1,0,0,69899e9cfbfb34c6a455548ee0fe26a9,2014-11-20T15:20:39 +00:00
