Created Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-02-04,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2000-02-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-07,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,2,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-02-08,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,4,1,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2000-02-09,0,0,0,0,0,2,0,1,0,1,0,2,0,1,0,1,3,0,1,1,1,1,0,0,0,0,0,1,5,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2000-02-10,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
2000-02-11,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2000-02-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000-02-13,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-14,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2000-02-15,0,0,0,0,0,2,2,1,6,1,0,0,0,1,0,2,2,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
2000-02-16,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0
2000-02-17,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,1,3,0,0,0,0
2000-02-18,0,1,1,0,3,2,1,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
2000-02-19,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-20,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000-02-21,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-02-22,3,0,0,1,1,1,1,2,8,2,0,1,0,2,0,0,4,2,2,1,3,3,0,4,0,0,1,0,4,1,2,1,0,5,0,2,0,2,1,2,0,0,0,0,2,1,0,0,1,0
2000-02-23,2,0,0,0,1,3,0,1,2,5,0,0,1,3,0,1,0,5,2,2,1,2,4,0,2,1,0,1,2,2,1,0,1,4,0,2,0,1,1,0,2,0,0,1,1,1,0,0,0,1
2000-02-24,5,1,0,1,1,5,1,6,11,6,1,2,2,0,3,6,1,2,0,1,4,1,2,1,1,0,2,2,0,5,2,1,0,19,1,4,5,3,3,1,6,2,1,0,6,0,0,0,0,1
2000-02-25,1,1,0,0,1,3,5,5,6,4,1,1,1,2,1,1,2,7,3,3,7,0,1,2,0,2,0,2,2,2,4,1,3,5,2,2,6,1,4,1,2,1,0,1,1,0,0,0,0,1
2000-02-26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
2000-02-27,0,0,1,0,0,0,0,2,1,0,0,3,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000-02-28,0,1,1,1,0,3,1,3,5,5,3,2,2,0,0,0,3,2,1,3,1,1,1,2,0,1,2,0,2,3,0,0,4,6,0,2,0,2,2,1,4,4,0,0,1,0,1,0,0,0
2000-02-29,1,0,1,1,1,3,1,1,1,1,0,2,0,0,0,1,0,3,1,0,0,2,1,2,0,1,0,0,1,0,2,1,1,4,1,1,0,1,1,1,2,0,1,0,0,0,0,1,1,1
2000-03-01,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,2
2000-03-02,0,0,0,1,1,0,3,2,0,2,1,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0
